sku,locationCode,storageLocationName,quantity,unitOfMeasure,description
BSCH-SP4418,CLT-MAIN-001,Bin C-04,16,EA,Bosch Double Iridium Spark Plug 4418
DENS-ITV20TT,CLT-MAIN-001,Bin C-05,16,EA,Denso Iridium TT Spark Plug ITV20TT
ACDL-41-162,CLT-MAIN-001,Bin C-06,16,EA,ACDelco Professional Iridium Spark Plug 41-162
BSCH-26A,CLT-MAIN-001,Bin C-07,12,EA,Bosch ICON Wiper Blade 26in
BSCH-24A,CLT-MAIN-001,Bin C-08,12,EA,Bosch ICON Wiper Blade 24in
BSCH-22A,CLT-MAIN-001,Bin C-01,12,EA,Bosch ICON Wiper Blade 22in
DENS-160-3314,CLT-MAIN-001,Bin C-02,12,EA,Denso Wiper Blade 160-3314
WAGN-MX882,CLT-MAIN-001,Parts Shelf A,8,EA,Wagner ThermoQuiet Ceramic Brake Pad MX882
WAGN-QC1394,CLT-MAIN-001,Parts Shelf A,8,EA,Wagner QuickStop Ceramic Brake Pad ZD1394
BREM-P83073N,CLT-MAIN-001,Parts Shelf A,8,EA,Brembo NAO Ceramic Brake Pad P83073N
BSCH-BC905,CLT-MAIN-001,Parts Shelf A,8,EA,Bosch BC905 QuietCast Premium Ceramic Brake Pad
ACDL-48AGM,CLT-MAIN-001,Battery Rack,4,EA,ACDelco Gold 48AGM AGM Battery
INTS-MTP-65,CLT-MAIN-001,Battery Rack,4,EA,Interstate MT-65 Battery
BREM-25988,CLT-MAIN-001,Bulk Floor,4,EA,Brembo Drilled Rotor 25988
MICH-XC2-0001,CLT-MAIN-001,Tire Rack A,8,EA,Michelin CrossClimate2 205/55R16
MICH-XC2-0002,CLT-MAIN-001,Tire Rack A,8,EA,Michelin CrossClimate2 215/55R17
MICH-XC2-0003,CLT-MAIN-001,Tire Rack A,8,EA,Michelin CrossClimate2 225/45R18
MICH-XC2-0006,CLT-MAIN-001,Tire Rack A,8,EA,Michelin CrossClimate2 265/70R17
MICH-DEF-0006,CLT-MAIN-001,Tire Rack B,8,EA,Michelin Defender T+H 225/65R17
MICH-DEF-0010,CLT-MAIN-001,Tire Rack B,8,EA,Michelin Defender T+H 235/60R18
MICH-DEF-0011,CLT-MAIN-001,Tire Rack B,8,EA,Michelin Defender T+H 265/70R17
MICH-PS4-0003,CLT-MAIN-001,Tire Rack B,4,EA,Michelin Pilot Sport 4S 245/40R18
