locationCode,name,type,parentName,storageCategoryCode,hazardContainment,status,maxUnitCount,unitCount
CLT-MAIN-001,Bin C-01,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-02,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-03,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-04,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-05,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-06,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-07,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MAIN-001,Bin C-08,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Receiving Dock,FLOOR,,STAGING,false,,,
CLT-SOUTH-001,Staging Floor,FLOOR,,STAGING,false,,,
CLT-SOUTH-001,Quarantine Cage,CAGE,,QUARANTINE,false,,,
CLT-SOUTH-001,Core Returns Cage,CAGE,,QUARANTINE,false,,,
CLT-SOUTH-001,Tire Rack A,SHELF,,TIRE_RACK,false,,,
CLT-SOUTH-001,Tire Rack B,SHELF,,TIRE_RACK,false,,,
CLT-SOUTH-001,Fluids Shelf,SHELF,,OIL_STORAGE,true,,,
CLT-SOUTH-001,Battery Rack,SHELF,,BATTERY_RACK,true,,,
CLT-SOUTH-001,Bulk Floor,FLOOR,,BULK_FLOOR,false,,,
CLT-SOUTH-001,Van Stock 01,TRUCK,,GENERAL,false,,,
CLT-SOUTH-001,Retired Bin,BIN,,GENERAL,false,INACTIVE,,
CLT-SOUTH-001,Parts Shelf A,SHELF,,GENERAL,false,,,
CLT-SOUTH-001,Parts Shelf B,SHELF,,GENERAL,false,,,
CLT-SOUTH-001,Parts Shelf C,SHELF,,GENERAL,false,,,
CLT-SOUTH-001,Bin A-01,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-02,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-03,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-04,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-05,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-06,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-07,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin A-08,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-01,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-02,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-03,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-04,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-05,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-06,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-07,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin B-08,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-01,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-02,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-03,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-04,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-05,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-06,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-07,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-SOUTH-001,Bin C-08,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Receiving Dock,FLOOR,,STAGING,false,,,
CLT-NORTH-001,Staging Floor,FLOOR,,STAGING,false,,,
CLT-NORTH-001,Quarantine Cage,CAGE,,QUARANTINE,false,,,
CLT-NORTH-001,Core Returns Cage,CAGE,,QUARANTINE,false,,,
CLT-NORTH-001,Tire Rack A,SHELF,,TIRE_RACK,false,,,
CLT-NORTH-001,Tire Rack B,SHELF,,TIRE_RACK,false,,,
CLT-NORTH-001,Fluids Shelf,SHELF,,OIL_STORAGE,true,,,
CLT-NORTH-001,Battery Rack,SHELF,,BATTERY_RACK,true,,,
CLT-NORTH-001,Bulk Floor,FLOOR,,BULK_FLOOR,false,,,
CLT-NORTH-001,Van Stock 01,TRUCK,,GENERAL,false,,,
CLT-NORTH-001,Retired Bin,BIN,,GENERAL,false,INACTIVE,,
CLT-NORTH-001,Parts Shelf A,SHELF,,GENERAL,false,,,
CLT-NORTH-001,Parts Shelf B,SHELF,,GENERAL,false,,,
CLT-NORTH-001,Parts Shelf C,SHELF,,GENERAL,false,,,
CLT-NORTH-001,Bin A-01,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-02,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-03,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-04,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-05,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-06,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-07,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin A-08,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-01,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-02,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-03,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-04,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-05,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-06,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-07,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin B-08,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-01,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-02,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-03,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-04,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-05,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-06,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-07,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-NORTH-001,Bin C-08,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Receiving Dock,FLOOR,,STAGING,false,,,
CLT-MOB-HUB-001,Staging Floor,FLOOR,,STAGING,false,,,
CLT-MOB-HUB-001,Quarantine Cage,CAGE,,QUARANTINE,false,,,
CLT-MOB-HUB-001,Core Returns Cage,CAGE,,QUARANTINE,false,,,
CLT-MOB-HUB-001,Tire Rack A,SHELF,,TIRE_RACK,false,,,
CLT-MOB-HUB-001,Tire Rack B,SHELF,,TIRE_RACK,false,,,
CLT-MOB-HUB-001,Fluids Shelf,SHELF,,OIL_STORAGE,true,,,
CLT-MOB-HUB-001,Battery Rack,SHELF,,BATTERY_RACK,true,,,
CLT-MOB-HUB-001,Bulk Floor,FLOOR,,BULK_FLOOR,false,,,
CLT-MOB-HUB-001,Van Stock 01,TRUCK,,GENERAL,false,,,
CLT-MOB-HUB-001,Retired Bin,BIN,,GENERAL,false,INACTIVE,,
CLT-MOB-HUB-001,Parts Shelf A,SHELF,,GENERAL,false,,,
CLT-MOB-HUB-001,Parts Shelf B,SHELF,,GENERAL,false,,,
CLT-MOB-HUB-001,Parts Shelf C,SHELF,,GENERAL,false,,,
CLT-MOB-HUB-001,Bin A-01,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-02,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-03,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-04,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-05,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-06,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-07,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin A-08,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-01,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-02,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-03,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-04,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-05,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-06,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-07,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin B-08,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-01,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-02,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-03,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-04,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-05,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-06,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-07,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CLT-MOB-HUB-001,Bin C-08,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Receiving Dock,FLOOR,,STAGING,false,,,
CORP-HQ-001,Staging Floor,FLOOR,,STAGING,false,,,
CORP-HQ-001,Quarantine Cage,CAGE,,QUARANTINE,false,,,
CORP-HQ-001,Core Returns Cage,CAGE,,QUARANTINE,false,,,
CORP-HQ-001,Tire Rack A,SHELF,,TIRE_RACK,false,,,
CORP-HQ-001,Tire Rack B,SHELF,,TIRE_RACK,false,,,
CORP-HQ-001,Fluids Shelf,SHELF,,OIL_STORAGE,true,,,
CORP-HQ-001,Battery Rack,SHELF,,BATTERY_RACK,true,,,
CORP-HQ-001,Bulk Floor,FLOOR,,BULK_FLOOR,false,,,
CORP-HQ-001,Van Stock 01,TRUCK,,GENERAL,false,,,
CORP-HQ-001,Retired Bin,BIN,,GENERAL,false,INACTIVE,,
CORP-HQ-001,Parts Shelf A,SHELF,,GENERAL,false,,,
CORP-HQ-001,Parts Shelf B,SHELF,,GENERAL,false,,,
CORP-HQ-001,Parts Shelf C,SHELF,,GENERAL,false,,,
CORP-HQ-001,Bin A-01,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-02,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-03,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-04,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-05,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-06,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-07,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin A-08,BIN,Parts Shelf A,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-01,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-02,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-03,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-04,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-05,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-06,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-07,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin B-08,BIN,Parts Shelf B,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-01,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-02,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-03,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-04,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-05,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-06,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-07,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
CORP-HQ-001,Bin C-08,BIN,Parts Shelf C,SMALL_PARTS_BIN,false,,,
