sku,msrp,currency,effectiveFrom
PRES-AS262Y,9.35,USD,2024-01-01T00:00:00Z
PRES-AS657Y,10.58,USD,2024-01-01T00:00:00Z
WIXF-XP57356,14.54,USD,2024-01-01T00:00:00Z
WIXF-XP51394,11.91,USD,2024-01-01T00:00:00Z
WIXF-57356,10.81,USD,2024-01-01T00:00:00Z
FRAM-XG7317,12.04,USD,2024-01-01T00:00:00Z
FRAM-PH7317,11.91,USD,2024-01-01T00:00:00Z
PURO-PP10060,13.68,USD,2024-01-01T00:00:00Z
PURO-L10241,6.98,USD,2024-01-01T00:00:00Z
BSCH-OFP3400,14.65,USD,2024-01-01T00:00:00Z
ACDL-PF63E,9.12,USD,2024-01-01T00:00:00Z
MOTO-FL-500-S,6.62,USD,2024-01-01T00:00:00Z
WIXF-42257,15.63,USD,2024-01-01T00:00:00Z
WIXF-46038,16.91,USD,2024-01-01T00:00:00Z
FRAM-CA8037,10.68,USD,2024-01-01T00:00:00Z
BSCH-5063WS,14.54,USD,2024-01-01T00:00:00Z
ACDL-A2873C,15.07,USD,2024-01-01T00:00:00Z
MOTO-FA-1754,12.06,USD,2024-01-01T00:00:00Z
WIXF-33481,16.27,USD,2024-01-01T00:00:00Z
FRAM-G3727,15.86,USD,2024-01-01T00:00:00Z
BSCH-FF71047,17.07,USD,2024-01-01T00:00:00Z
ACDL-GF652,9.77,USD,2024-01-01T00:00:00Z
MOTO-FG-1034,10.39,USD,2024-01-01T00:00:00Z
WIXF-49113,14.16,USD,2024-01-01T00:00:00Z
FRAM-CF10285,13.62,USD,2024-01-01T00:00:00Z
BSCH-CAFC6061,20.51,USD,2024-01-01T00:00:00Z
ACDL-CF117,20.35,USD,2024-01-01T00:00:00Z
PURO-C35313,14.37,USD,2024-01-01T00:00:00Z
DENS-453-2036,25.77,USD,2024-01-01T00:00:00Z
WALK-21846,65.58,USD,2024-01-01T00:00:00Z
WALK-18876,103.3,USD,2024-01-01T00:00:00Z
WALK-54433,48.29,USD,2024-01-01T00:00:00Z
DORM-674-515,60.87,USD,2024-01-01T00:00:00Z
WALK-82741,307.73,USD,2024-01-01T00:00:00Z
WALK-82166,297.99,USD,2024-01-01T00:00:00Z
DORM-674-860,272.93,USD,2024-01-01T00:00:00Z
FOSE-158313,260.17,USD,2024-01-01T00:00:00Z
FOSE-75476,188.91,USD,2024-01-01T00:00:00Z
FOSE-33301,30.18,USD,2024-01-01T00:00:00Z
DORM-34185,85.02,USD,2024-01-01T00:00:00Z
FOSE-94824,104.99,USD,2024-01-01T00:00:00Z
DORM-902-052,125.85,USD,2024-01-01T00:00:00Z
FOSE-74683,59.08,USD,2024-01-01T00:00:00Z
BSCH-BLB-H4-TS,15.75,USD,2024-01-01T00:00:00Z
BSCH-BLB-H7-PP,23.82,USD,2024-01-01T00:00:00Z
DORM-1611306,80.23,USD,2024-01-01T00:00:00Z
DORM-1591918,134.79,USD,2024-01-01T00:00:00Z
ACDL-9007-LAMP,16.88,USD,2024-01-01T00:00:00Z
DORM-955-1011,65.64,USD,2024-01-01T00:00:00Z
DORM-955-1419,114.7,USD,2024-01-01T00:00:00Z
DORM-56071,20.64,USD,2024-01-01T00:00:00Z
PARK-387TC-4-FT,26.94,USD,2024-01-01T00:00:00Z
PARK-10343-8-6,14.34,USD,2024-01-01T00:00:00Z
PARK-25H-CS3-MT,304.73,USD,2024-01-01T00:00:00Z
CATP-269-4164,673.53,USD,2024-01-01T00:00:00Z
CATP-359-9351,355.45,USD,2024-01-01T00:00:00Z
CATP-1R-0716,37.31,USD,2024-01-01T00:00:00Z
CATP-1R-0739,44.55,USD,2024-01-01T00:00:00Z
CATP-1R-0750,42.43,USD,2024-01-01T00:00:00Z
WIXF-HD57131,26.32,USD,2024-01-01T00:00:00Z
WIXF-HD46729,28.18,USD,2024-01-01T00:00:00Z
MICH-XC2-0001,174.76,USD,2024-01-01T00:00:00Z
MICH-XC2-0002,188.26,USD,2024-01-01T00:00:00Z
MICH-XC2-0003,191.59,USD,2024-01-01T00:00:00Z
MICH-XC2-0004,164.92,USD,2024-01-01T00:00:00Z
MICH-XC2-0005,208.29,USD,2024-01-01T00:00:00Z
MICH-XC2-0006,181.14,USD,2024-01-01T00:00:00Z
MICH-XC2-0007,173.97,USD,2024-01-01T00:00:00Z
MICH-XC2-0008,199.79,USD,2024-01-01T00:00:00Z
MICH-XC2-0009,214.85,USD,2024-01-01T00:00:00Z
MICH-XC2-0010,158.69,USD,2024-01-01T00:00:00Z
MICH-XC2-0011,178.35,USD,2024-01-01T00:00:00Z
MICH-DEF-0001,137.32,USD,2024-01-01T00:00:00Z
MICH-DEF-0002,161.23,USD,2024-01-01T00:00:00Z
MICH-DEF-0003,145.1,USD,2024-01-01T00:00:00Z
MICH-DEF-0004,132.49,USD,2024-01-01T00:00:00Z
MICH-DEF-0005,150.71,USD,2024-01-01T00:00:00Z
MICH-DEF-0006,134.66,USD,2024-01-01T00:00:00Z
MICH-DEF-0007,161.49,USD,2024-01-01T00:00:00Z
MICH-DEF-0008,139.59,USD,2024-01-01T00:00:00Z
MICH-DEF-0009,124.54,USD,2024-01-01T00:00:00Z
MICH-DEF-0010,135.21,USD,2024-01-01T00:00:00Z
MICH-DEF-0011,139.59,USD,2024-01-01T00:00:00Z
GOOD-AWR-0001,171.04,USD,2024-01-01T00:00:00Z
GOOD-AWR-0002,146.38,USD,2024-01-01T00:00:00Z
GOOD-AWR-0003,185.98,USD,2024-01-01T00:00:00Z
GOOD-AWR-0004,122.95,USD,2024-01-01T00:00:00Z
GOOD-AWR-0005,141.81,USD,2024-01-01T00:00:00Z
GOOD-AWR-0006,148.14,USD,2024-01-01T00:00:00Z
GOOD-AWR-0007,165.99,USD,2024-01-01T00:00:00Z
GOOD-AWR-0008,147.42,USD,2024-01-01T00:00:00Z
GOOD-AWR-0009,201.34,USD,2024-01-01T00:00:00Z
GOOD-AWR-0010,197.17,USD,2024-01-01T00:00:00Z
GOOD-AWR-0011,134.07,USD,2024-01-01T00:00:00Z
GOOD-ESA-0001,159.69,USD,2024-01-01T00:00:00Z
GOOD-ESA-0002,102.77,USD,2024-01-01T00:00:00Z
GOOD-ESA-0003,107.5,USD,2024-01-01T00:00:00Z
GOOD-ESA-0004,179.29,USD,2024-01-01T00:00:00Z
GOOD-ESA-0005,128.12,USD,2024-01-01T00:00:00Z
GOOD-ESA-0006,171.57,USD,2024-01-01T00:00:00Z
GOOD-ESA-0007,103.29,USD,2024-01-01T00:00:00Z
GOOD-ESA-0008,169.95,USD,2024-01-01T00:00:00Z
GOOD-ESA-0009,171.48,USD,2024-01-01T00:00:00Z
GOOD-ESA-0010,182.4,USD,2024-01-01T00:00:00Z
GOOD-ESA-0011,116.48,USD,2024-01-01T00:00:00Z
BRDG-TQT-0001,170.52,USD,2024-01-01T00:00:00Z
BRDG-TQT-0002,158.27,USD,2024-01-01T00:00:00Z
BRDG-TQT-0003,132.64,USD,2024-01-01T00:00:00Z
BRDG-TQT-0004,181.7,USD,2024-01-01T00:00:00Z
BRDG-TQT-0005,162.31,USD,2024-01-01T00:00:00Z
BRDG-TQT-0006,171.45,USD,2024-01-01T00:00:00Z
BRDG-TQT-0007,153.85,USD,2024-01-01T00:00:00Z
BRDG-TQT-0008,132.13,USD,2024-01-01T00:00:00Z
BRDG-TQT-0009,110.68,USD,2024-01-01T00:00:00Z
BRDG-TQT-0010,141.98,USD,2024-01-01T00:00:00Z
BRDG-TQT-0011,145.48,USD,2024-01-01T00:00:00Z
CONT-TCT-0001,118.35,USD,2024-01-01T00:00:00Z
CONT-TCT-0002,160.21,USD,2024-01-01T00:00:00Z
CONT-TCT-0003,105.43,USD,2024-01-01T00:00:00Z
CONT-TCT-0004,123.76,USD,2024-01-01T00:00:00Z
CONT-TCT-0005,176.09,USD,2024-01-01T00:00:00Z
CONT-TCT-0006,120.6,USD,2024-01-01T00:00:00Z
CONT-TCT-0007,123.8,USD,2024-01-01T00:00:00Z
CONT-TCT-0008,142.07,USD,2024-01-01T00:00:00Z
CONT-TCT-0009,157.84,USD,2024-01-01T00:00:00Z
CONT-TCT-0010,128.35,USD,2024-01-01T00:00:00Z
CONT-TCT-0011,173.52,USD,2024-01-01T00:00:00Z
COOP-CEP-0001,122.11,USD,2024-01-01T00:00:00Z
COOP-CEP-0002,115.22,USD,2024-01-01T00:00:00Z
COOP-CEP-0003,107.45,USD,2024-01-01T00:00:00Z
COOP-CEP-0004,141.89,USD,2024-01-01T00:00:00Z
COOP-CEP-0005,134.46,USD,2024-01-01T00:00:00Z
COOP-CEP-0006,122.78,USD,2024-01-01T00:00:00Z
COOP-CEP-0007,146.8,USD,2024-01-01T00:00:00Z
COOP-CEP-0008,135.42,USD,2024-01-01T00:00:00Z
COOP-CEP-0009,122.75,USD,2024-01-01T00:00:00Z
COOP-CEP-0010,140.55,USD,2024-01-01T00:00:00Z
COOP-CEP-0011,109.82,USD,2024-01-01T00:00:00Z
TOYO-CCU-0001,102.65,USD,2024-01-01T00:00:00Z
TOYO-CCU-0002,166.16,USD,2024-01-01T00:00:00Z
TOYO-CCU-0003,155.85,USD,2024-01-01T00:00:00Z
TOYO-CCU-0004,150.07,USD,2024-01-01T00:00:00Z
TOYO-CCU-0005,103.53,USD,2024-01-01T00:00:00Z
TOYO-CCU-0006,115.81,USD,2024-01-01T00:00:00Z
TOYO-CCU-0007,145.37,USD,2024-01-01T00:00:00Z
TOYO-CCU-0008,171.55,USD,2024-01-01T00:00:00Z
TOYO-CCU-0009,172.19,USD,2024-01-01T00:00:00Z
TOYO-CCU-0010,99.22,USD,2024-01-01T00:00:00Z
TOYO-CCU-0011,162.21,USD,2024-01-01T00:00:00Z
MICH-PS4-0001,288.36,USD,2024-01-01T00:00:00Z
MICH-PS4-0002,243.14,USD,2024-01-01T00:00:00Z
MICH-PS4-0003,242.28,USD,2024-01-01T00:00:00Z
MICH-PS4-0004,204.58,USD,2024-01-01T00:00:00Z
MICH-PS4-0005,252.56,USD,2024-01-01T00:00:00Z
MICH-PS4-0006,278.83,USD,2024-01-01T00:00:00Z
MICH-PS4-0007,206.7,USD,2024-01-01T00:00:00Z
MICH-PS4-0008,203.1,USD,2024-01-01T00:00:00Z
MICH-PS4-0009,239.06,USD,2024-01-01T00:00:00Z
MICH-PS4-0010,187.65,USD,2024-01-01T00:00:00Z
MICH-PS4-0011,254.02,USD,2024-01-01T00:00:00Z
BRDG-RE9-0001,254.84,USD,2024-01-01T00:00:00Z
BRDG-RE9-0002,247.84,USD,2024-01-01T00:00:00Z
BRDG-RE9-0003,271.8,USD,2024-01-01T00:00:00Z
BRDG-RE9-0004,160.48,USD,2024-01-01T00:00:00Z
BRDG-RE9-0005,237.79,USD,2024-01-01T00:00:00Z
BRDG-RE9-0006,187.26,USD,2024-01-01T00:00:00Z
BRDG-RE9-0007,160.9,USD,2024-01-01T00:00:00Z
BRDG-RE9-0008,285.01,USD,2024-01-01T00:00:00Z
BRDG-RE9-0009,205.28,USD,2024-01-01T00:00:00Z
BRDG-RE9-0010,165.96,USD,2024-01-01T00:00:00Z
BRDG-RE9-0011,231.74,USD,2024-01-01T00:00:00Z
CONT-ECS-0001,236.41,USD,2024-01-01T00:00:00Z
CONT-ECS-0002,243.82,USD,2024-01-01T00:00:00Z
CONT-ECS-0003,177.21,USD,2024-01-01T00:00:00Z
CONT-ECS-0004,167.09,USD,2024-01-01T00:00:00Z
CONT-ECS-0005,257.31,USD,2024-01-01T00:00:00Z
CONT-ECS-0006,224.45,USD,2024-01-01T00:00:00Z
CONT-ECS-0007,202.03,USD,2024-01-01T00:00:00Z
CONT-ECS-0008,159.84,USD,2024-01-01T00:00:00Z
CONT-ECS-0009,233.14,USD,2024-01-01T00:00:00Z
CONT-ECS-0010,254.0,USD,2024-01-01T00:00:00Z
CONT-ECS-0011,204.2,USD,2024-01-01T00:00:00Z
GOOD-EF6-0001,186.34,USD,2024-01-01T00:00:00Z
GOOD-EF6-0002,268.28,USD,2024-01-01T00:00:00Z
GOOD-EF6-0003,156.0,USD,2024-01-01T00:00:00Z
GOOD-EF6-0004,192.19,USD,2024-01-01T00:00:00Z
GOOD-EF6-0005,291.44,USD,2024-01-01T00:00:00Z
GOOD-EF6-0006,263.49,USD,2024-01-01T00:00:00Z
GOOD-EF6-0007,227.61,USD,2024-01-01T00:00:00Z
GOOD-EF6-0008,272.27,USD,2024-01-01T00:00:00Z
GOOD-EF6-0009,166.37,USD,2024-01-01T00:00:00Z
GOOD-EF6-0010,160.88,USD,2024-01-01T00:00:00Z
GOOD-EF6-0011,216.52,USD,2024-01-01T00:00:00Z
MICH-XIS-0001,237.45,USD,2024-01-01T00:00:00Z
MICH-XIS-0002,158.68,USD,2024-01-01T00:00:00Z
MICH-XIS-0003,225.22,USD,2024-01-01T00:00:00Z
MICH-XIS-0004,214.48,USD,2024-01-01T00:00:00Z
MICH-XIS-0005,216.67,USD,2024-01-01T00:00:00Z
MICH-XIS-0006,172.46,USD,2024-01-01T00:00:00Z
MICH-XIS-0007,238.03,USD,2024-01-01T00:00:00Z
MICH-XIS-0008,202.05,USD,2024-01-01T00:00:00Z
MICH-XIS-0009,183.0,USD,2024-01-01T00:00:00Z
MICH-XIS-0010,195.67,USD,2024-01-01T00:00:00Z
MICH-XIS-0011,178.14,USD,2024-01-01T00:00:00Z
BRDG-WS9-0001,197.06,USD,2024-01-01T00:00:00Z
BRDG-WS9-0002,143.85,USD,2024-01-01T00:00:00Z
BRDG-WS9-0003,216.18,USD,2024-01-01T00:00:00Z
BRDG-WS9-0004,184.03,USD,2024-01-01T00:00:00Z
BRDG-WS9-0005,160.1,USD,2024-01-01T00:00:00Z
BRDG-WS9-0006,184.46,USD,2024-01-01T00:00:00Z
BRDG-WS9-0007,199.87,USD,2024-01-01T00:00:00Z
BRDG-WS9-0008,149.39,USD,2024-01-01T00:00:00Z
BRDG-WS9-0009,216.56,USD,2024-01-01T00:00:00Z
BRDG-WS9-0010,228.84,USD,2024-01-01T00:00:00Z
BRDG-WS9-0011,157.16,USD,2024-01-01T00:00:00Z
CONT-WCI-0001,152.78,USD,2024-01-01T00:00:00Z
CONT-WCI-0002,215.64,USD,2024-01-01T00:00:00Z
CONT-WCI-0003,144.15,USD,2024-01-01T00:00:00Z
CONT-WCI-0004,190.77,USD,2024-01-01T00:00:00Z
CONT-WCI-0005,230.45,USD,2024-01-01T00:00:00Z
CONT-WCI-0006,212.9,USD,2024-01-01T00:00:00Z
CONT-WCI-0007,152.12,USD,2024-01-01T00:00:00Z
CONT-WCI-0008,139.06,USD,2024-01-01T00:00:00Z
CONT-WCI-0009,220.47,USD,2024-01-01T00:00:00Z
CONT-WCI-0010,176.95,USD,2024-01-01T00:00:00Z
CONT-WCI-0011,136.72,USD,2024-01-01T00:00:00Z
FIRE-WFU-0001,122.75,USD,2024-01-01T00:00:00Z
FIRE-WFU-0002,153.64,USD,2024-01-01T00:00:00Z
FIRE-WFU-0003,133.18,USD,2024-01-01T00:00:00Z
FIRE-WFU-0004,105.52,USD,2024-01-01T00:00:00Z
FIRE-WFU-0005,149.22,USD,2024-01-01T00:00:00Z
FIRE-WFU-0006,101.99,USD,2024-01-01T00:00:00Z
FIRE-WFU-0007,138.92,USD,2024-01-01T00:00:00Z
FIRE-WFU-0008,154.13,USD,2024-01-01T00:00:00Z
FIRE-WFU-0009,103.5,USD,2024-01-01T00:00:00Z
FIRE-WFU-0010,103.18,USD,2024-01-01T00:00:00Z
FIRE-WFU-0011,145.98,USD,2024-01-01T00:00:00Z
MICH-PSC-0001,429.36,USD,2024-01-01T00:00:00Z
MICH-PSC-0002,400.7,USD,2024-01-01T00:00:00Z
MICH-PSC-0003,437.7,USD,2024-01-01T00:00:00Z
MICH-PSC-0004,434.15,USD,2024-01-01T00:00:00Z
MICH-PSC-0005,326.68,USD,2024-01-01T00:00:00Z
MICH-PSC-0006,383.54,USD,2024-01-01T00:00:00Z
MICH-PSC-0007,443.5,USD,2024-01-01T00:00:00Z
MICH-PSC-0008,424.29,USD,2024-01-01T00:00:00Z
MICH-PSC-0009,257.87,USD,2024-01-01T00:00:00Z
MICH-PSC-0010,439.64,USD,2024-01-01T00:00:00Z
MICH-PSC-0011,430.64,USD,2024-01-01T00:00:00Z
CONT-SC7-0001,240.64,USD,2024-01-01T00:00:00Z
CONT-SC7-0002,285.55,USD,2024-01-01T00:00:00Z
CONT-SC7-0003,327.14,USD,2024-01-01T00:00:00Z
CONT-SC7-0004,372.04,USD,2024-01-01T00:00:00Z
CONT-SC7-0005,389.37,USD,2024-01-01T00:00:00Z
CONT-SC7-0006,238.36,USD,2024-01-01T00:00:00Z
CONT-SC7-0007,267.21,USD,2024-01-01T00:00:00Z
CONT-SC7-0008,353.18,USD,2024-01-01T00:00:00Z
CONT-SC7-0009,311.69,USD,2024-01-01T00:00:00Z
CONT-SC7-0010,398.3,USD,2024-01-01T00:00:00Z
CONT-SC7-0011,275.56,USD,2024-01-01T00:00:00Z
BFGR-GFC-0001,111.26,USD,2024-01-01T00:00:00Z
BFGR-GFC-0002,199.47,USD,2024-01-01T00:00:00Z
BFGR-GFC-0003,114.99,USD,2024-01-01T00:00:00Z
BFGR-GFC-0004,153.01,USD,2024-01-01T00:00:00Z
BFGR-GFC-0005,196.68,USD,2024-01-01T00:00:00Z
BFGR-GFC-0006,169.59,USD,2024-01-01T00:00:00Z
BFGR-GFC-0007,186.1,USD,2024-01-01T00:00:00Z
BFGR-GFC-0008,181.4,USD,2024-01-01T00:00:00Z
BFGR-GFC-0009,123.6,USD,2024-01-01T00:00:00Z
BFGR-GFC-0010,187.87,USD,2024-01-01T00:00:00Z
BFGR-GFC-0011,197.9,USD,2024-01-01T00:00:00Z
TOYO-PRS-0001,129.33,USD,2024-01-01T00:00:00Z
TOYO-PRS-0002,202.17,USD,2024-01-01T00:00:00Z
TOYO-PRS-0003,168.27,USD,2024-01-01T00:00:00Z
TOYO-PRS-0004,204.08,USD,2024-01-01T00:00:00Z
TOYO-PRS-0005,210.72,USD,2024-01-01T00:00:00Z
TOYO-PRS-0006,181.45,USD,2024-01-01T00:00:00Z
TOYO-PRS-0007,152.83,USD,2024-01-01T00:00:00Z
TOYO-PRS-0008,179.09,USD,2024-01-01T00:00:00Z
TOYO-PRS-0009,153.99,USD,2024-01-01T00:00:00Z
TOYO-PRS-0010,189.27,USD,2024-01-01T00:00:00Z
TOYO-PRS-0011,166.37,USD,2024-01-01T00:00:00Z
MICH-LTX-0001,247.86,USD,2024-01-01T00:00:00Z
MICH-LTX-0002,166.01,USD,2024-01-01T00:00:00Z
MICH-LTX-0003,178.8,USD,2024-01-01T00:00:00Z
MICH-LTX-0004,240.66,USD,2024-01-01T00:00:00Z
MICH-LTX-0005,216.03,USD,2024-01-01T00:00:00Z
MICH-LTX-0006,179.75,USD,2024-01-01T00:00:00Z
MICH-LTX-0007,244.4,USD,2024-01-01T00:00:00Z
MICH-LTX-0008,162.73,USD,2024-01-01T00:00:00Z
MICH-LTX-0009,202.73,USD,2024-01-01T00:00:00Z
MICH-LTX-0010,258.07,USD,2024-01-01T00:00:00Z
MICH-LTX-0011,178.18,USD,2024-01-01T00:00:00Z
BFGR-KO2-0001,164.54,USD,2024-01-01T00:00:00Z
BFGR-KO2-0002,269.51,USD,2024-01-01T00:00:00Z
BFGR-KO2-0003,190.56,USD,2024-01-01T00:00:00Z
BFGR-KO2-0004,211.12,USD,2024-01-01T00:00:00Z
BFGR-KO2-0005,183.82,USD,2024-01-01T00:00:00Z
